SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
CALI,CHEVROLET,2020,121 a 240, Alto ,Fuerte,Pesado,BLANCO,CAMION,VIOLACION DE NORMAS DE TRANSITO
MANIZALES,HYUNDAI,2021,16 a 30, Alto ,Leve,Liviano,CAFE,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,TOYOTA,2019,31 a 60, Alto ,Medio,Liviano,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
MEDELLÍN,BMW,2007,31 a 60, Alto ,Fuerte,Liviano,AZUL,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2016,31 a 60, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,NISSAN,2009,31 a 60, Alto ,Medio,Liviano,PLATA,PICKUP DOBLE CABINA,FALLA MECANICA
BUCARAMANGA,KENWORTH,2013,16 a 30, Alto ,Medio,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,FORD,2016,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BUCARAMANGA,CHEVROLET,2015,31 a 60, Alto ,Leve,Pesado,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,DODGE,2016,121 a 240, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BARRANQUILLA,RENAULT,2020,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
MANIZALES,TOYOTA,2021,61 a 120, Alto ,Fuerte,Liviano,PLATA,PICKUP DOBLE CABINA,ENCONTRADO DAÑADO
MEDELLÍN,RENAULT,2018,31 a 60, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,EXCESO DE VELOCIDAD
BOGOTÁ,BMW,2016,121 a 240, Alto ,Fuerte,Liviano,AZUL,CAMPERO,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CHASIS,OBSTACULOS EN LA VIA
PEREIRA,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,FALLA MECANICA
BOGOTÁ,CHEVROLET,2021,121 a 240, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2012,61 a 120, Alto ,Fuerte,Pesado,AMARILLO,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2016,61 a 120, Alto ,Fuerte,Liviano,PLATA,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,TOYOTA,2015,61 a 120, Alto ,Fuerte,Liviano,SUPER,PICKUP DOBLE CABINA,OBSTACULOS EN LA VIA
BOGOTÁ,MITSUBISHI,2015,61 a 120, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,OBSTACULOS EN LA VIA
