SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
1,3,3,2,2,2,0,8,0,2
5,28,3,2,1,2,0,4,0,2
4,3,3,4,5,0,0,0,9,12
1,28,3,2,2,0,0,4,0,12
4,18,3,2,3,0,0,4,2,12
2,3,3,1,1,2,0,10,0,13
2,18,4,2,4,0,0,8,0,12
1,25,3,0,0,1,0,0,0,2
6,11,4,3,5,1,1,4,11,12
5,21,3,2,2,2,0,4,0,2
2,3,3,0,1,2,0,10,0,2
2,21,4,0,0,1,0,0,2,7
1,34,3,2,1,2,0,0,4,12
0,3,2,3,2,1,0,0,2,12
0,3,3,1,2,2,0,8,0,3
3,34,3,2,2,2,0,4,4,12
2,25,3,2,4,0,0,4,9,2
2,3,3,1,2,0,0,0,0,12
6,28,3,1,0,0,0,0,0,2
2,3,4,2,0,1,0,10,0,2
1,18,1,3,2,2,0,0,0,2
2,12,3,0,2,2,0,0,0,4
4,3,3,1,3,0,0,4,7,13
2,25,4,1,1,2,0,0,0,13
2,18,3,0,0,1,0,4,0,13
3,11,4,3,2,0,1,4,1,12
0,18,3,1,0,2,0,4,0,2
0,35,3,1,3,2,0,0,9,13
2,3,2,0,1,2,0,0,2,2
6,14,1,1,4,0,1,0,2,9
6,3,3,2,2,0,0,0,0,2
2,21,1,2,3,0,0,0,9,6
6,18,3,2,2,2,0,0,0,13
6,18,3,2,3,0,0,0,2,13
2,26,4,1,1,2,0,4,3,2
1,5,3,1,1,2,0,0,2,2
0,3,3,0,0,1,0,0,0,2
2,33,3,0,1,1,0,0,2,2
6,3,3,2,0,2,0,0,0,2
5,35,0,3,2,2,0,0,0,12
6,35,3,2,2,0,0,0,0,13
1,28,3,1,2,2,0,4,2,2
2,17,1,2,4,0,1,2,11,12
6,3,2,2,2,0,0,3,0,13
0,3,3,2,3,0,0,0,0,6
2,14,0,2,4,2,1,4,1,12
6,3,2,2,3,2,0,0,9,13
0,3,2,2,2,2,0,0,0,2
2,18,2,3,4,2,0,0,4,13
6,3,3,1,1,0,0,0,0,3
3,25,3,0,1,1,0,4,2,12
0,33,3,0,0,1,0,0,2,12
4,18,4,1,2,2,0,0,0,12
6,18,3,3,2,0,0,4,0,12
6,18,3,2,2,2,0,0,2,2
2,18,3,2,1,0,0,4,0,12
0,18,3,0,2,2,0,4,0,2
2,18,3,1,2,0,0,2,0,2
0,25,3,0,0,0,0,0,0,13
6,35,3,0,2,2,0,0,0,13
1,3,3,0,1,2,0,4,0,12
1,18,2,3,3,0,0,0,2,13
2,1,3,3,4,2,0,9,11,12
0,33,3,2,2,2,0,4,4,2
2,3,3,2,1,2,0,8,0,2
3,3,3,2,1,1,0,4,0,3
2,35,2,2,4,0,0,4,9,7
6,28,3,1,2,2,0,9,0,2
0,28,3,1,0,2,0,0,0,2
6,33,3,2,2,2,0,4,2,12
6,3,3,1,2,2,0,0,0,13
2,25,3,3,4,0,0,2,0,2
6,3,2,2,1,2,0,0,2,12
2,27,3,3,1,0,0,4,7,2
6,8,3,3,4,0,1,4,7,2
6,28,4,1,1,2,0,3,0,5
6,3,4,1,1,2,0,0,0,3
1,34,3,1,2,0,0,0,2,3
6,28,2,2,1,2,0,0,2,12
3,3,3,2,3,0,0,9,9,2
6,34,3,2,2,2,0,4,2,2
6,28,2,2,0,1,0,0,0,2
6,34,2,3,0,2,0,8,2,5
1,3,4,3,1,2,0,0,0,2
0,3,1,2,2,2,0,3,0,1
2,2,3,1,1,0,0,0,2,0
6,28,3,1,0,2,0,0,0,13
1,18,3,2,2,2,0,0,0,2
6,13,1,2,2,2,0,0,2,2
4,3,2,1,1,0,0,0,0,3
6,21,3,2,2,2,0,0,0,2
6,18,2,1,0,1,0,0,0,3
4,3,2,2,0,1,0,8,0,10
5,35,4,1,1,1,0,0,4,2
4,22,2,3,4,0,0,0,0,12
4,28,4,2,0,2,0,4,0,2
4,18,3,2,0,1,0,4,0,5
4,3,3,1,2,1,0,0,0,2
2,3,2,2,1,2,0,8,0,12
1,18,1,3,3,0,0,9,0,12
6,4,3,1,1,1,0,4,0,7
4,3,3,1,3,2,0,9,0,12
2,3,3,1,3,0,0,4,1,7
1,28,2,2,2,0,0,0,2,5
5,26,1,1,0,2,0,10,0,2
1,3,3,3,4,0,0,10,0,2
0,3,2,2,2,2,0,0,0,2
6,21,2,2,1,2,0,0,0,12
0,28,3,2,3,2,0,0,0,12
6,28,1,4,2,0,0,0,0,13
6,33,1,4,1,0,0,8,4,2
6,26,1,4,3,0,0,0,4,2
2,3,2,2,2,0,0,4,1,2
0,3,3,1,2,2,0,0,0,2
6,3,2,3,2,0,0,0,0,12
6,18,2,3,2,2,0,4,2,3
6,21,1,3,1,1,0,8,0,13
6,21,3,3,1,1,0,10,0,2
6,13,2,3,1,1,0,5,2,2
6,28,2,3,2,2,0,0,0,2
6,28,2,3,3,0,0,4,2,12
2,7,3,0,0,1,0,0,0,3
6,34,2,3,3,0,0,12,9,12
6,21,3,3,3,0,0,0,2,3
6,30,2,3,1,1,0,4,0,12
6,28,2,3,1,0,0,4,0,12
6,18,2,3,1,2,0,9,0,2
6,3,1,3,0,2,0,0,0,6
6,18,2,3,0,2,0,0,2,12
6,3,3,3,1,2,0,0,0,2
6,34,1,3,1,2,0,4,9,3
6,34,2,3,2,0,0,0,0,2
6,28,0,3,1,1,0,2,0,7
6,28,3,3,1,2,0,0,4,12
6,28,2,3,0,1,0,9,4,13
6,7,2,3,2,1,0,8,4,2
6,21,2,3,0,2,0,0,0,12
4,3,3,4,2,0,0,4,0,2
6,3,1,4,3,2,0,8,2,12
6,18,3,4,2,0,0,4,0,2
6,7,2,5,3,0,0,0,0,2
6,18,2,2,3,2,0,0,0,6
6,22,3,3,3,1,0,0,2,12
6,13,2,2,0,1,0,4,0,2
4,18,2,2,1,2,0,0,4,2
6,7,2,2,1,1,0,0,0,2
6,18,2,3,1,2,0,0,0,2
